command,source_path,owner,category,status,effect,mutates,usage_access,summary,usage,examples,notes,risk,related,lead_comments
COMMIT,src/cli/cmd_commit.cpp,DOT|COMMIT,data,supported,commit,table-data table-buffer memo stale-state index,COMMIT USAGE,"Apply buffered TABLE changes to the current area or all open buffered areas,
  locking records at commit time and preserving legacy index rebuild compatibility.","COMMIT USAGE
  COMMIT
  COMMIT ALL
  COMMIT MANUAL
  COMMIT INTERACTIVE
  COMMIT AUTO
  COMMIT ALL MANUAL
  COMMIT ALL INTERACTIVE
  COMMIT ALL AUTO",,"COMMIT with no arguments applies buffered changes for the current area.
  COMMIT ALL applies buffered changes for all open buffered areas.
  TABLE ON buffers changes; COMMIT applies them with record locking.
  MANUAL, INTERACTIVE, and AUTO are accepted for compatibility.
  COMMIT does not rebuild CDX or LMDB containers.
  Legacy INX/IDX and CNX rebuild behavior remains only for legacy index families.
  COMMIT is a data mutation command when buffers contain changes.",,"TABLE
  REPLACE
  CALCWRITE
  ROLLBACK
  REINDEX
  REBUILD","Contract:
- TABLE ON buffers changes; no OS locking should occur during REPLACE/DELETE.
- COMMIT applies buffered changes with locking at commit time.
- COMMIT ALL commits all open areas with buffered changes.
- COMMIT does not rebuild CDX/LMDB. CDX/LMDB has a runtime lifecycle:
  key-field mutations, append, delete, and recall are handled by mutation hooks.
- Legacy index rebuild behavior remains only for legacy index families:
    * INX/IDX -> REINDEX
    * CNX     -> REBUILD
Notes:
- MANUAL / INTERACTIVE / AUTO are accepted for compatibility, but CDX/LMDB
  rebuilds are intentionally ignored by COMMIT."
CONTINUE,src/cli/cmd_continue.cpp,DOT|CONTINUE,navigation,supported,locate,cursor continue-state,CONTINUE USAGE,"Continue a previous LOCATE search, or continue with an explicit FOR
  predicate, following active order when present.","CONTINUE
  CONTINUE USAGE
  CONTINUE FOR <expr>",,"CONTINUE with no arguments reuses the active LOCATE/CONTINUE predicate.
  CONTINUE FOR <expr> searches forward from the current record using the supplied predicate.
  CONTINUE follows active order when one is present; otherwise it scans physical order.
  CONTINUE requires an open table except for CONTINUE USAGE.
  CONTINUE mutates cursor/search state but does not mutate table data.",,"LOCATE
  FIND
  SEEK","src/cli/cmd_continue.cpp
CONTINUE
CONTINUE FOR <expr>
Continues search after the current record.
If an order is active, traversal follows active order.
Otherwise traversal is physical forward order."
COPY,src/cli/cmd_copy.cpp,DOT|COPY,file-table,supported,copy-or-convert,filesystem,COPY USAGE,"Copy the current DBF, convert the current table to a target DBF flavor, or
  copy a filesystem file.","COPY USAGE
  COPY TO <DBFNAME> [WITH SIDECARS] [OVERWRITE]
  COPY TO <DBFNAME> AS <MSDOS|DBASE|FOX26|FOXPRO|VFP|X64> [OVERWRITE]
  COPY TO <DBFNAME> AS X64 VECTOR [OVERWRITE]
  COPY FILE <SRC> TO <DST> [OVERWRITE]","COPY TO students_copy
  COPY TO students_x64 AS X64 VECTOR OVERWRITE
  COPY TO students_vfp AS VFP
  COPY TO students_backup WITH SIDECARS OVERWRITE
  COPY FILE source.txt TO tmp\source_copy.txt OVERWRITE","COPY USAGE prints usage and does not require an open table.
  COPY TO requires an open table.
  COPY FILE does not require an open table.
  WITH SIDECARS applies only to binary COPY TO.
  OVERWRITE is required when the destination already exists.",,"USE
  EXPORT
  PACK",src/cli/cmd_copy.cpp
COUNT,src/cli/cmd_count.cpp,DOT|COUNT,query,supported,report,cursor transient-relation-refresh-state,COUNT USAGE,"Count records in the current logical rowset using selector-backed and
  predicate-backed scan paths, preserving cursor cohesion.","COUNT
  COUNT USAGE
  COUNT ALL
  COUNT FOR <expr>
  COUNT WHERE <expr>
  COUNT <expr>
  COUNT DELETED
  COUNT NOT DELETED
  COUNT !DELETED",,"COUNT with no arguments counts the current logical rowset.
  With no open table, COUNT preserves existing behavior and prints 0.
  Persistent SET FILTER is part of the logical rowset.
  COUNT FOR and COUNT WHERE normalize the predicate form before scanning.
  COUNT DELETED and COUNT NOT DELETED select by deletion state.
  COUNT preserves the active cursor where possible after scans.
  COUNT suppresses relation auto-refresh during full scans to avoid refresh thrash.
  COUNT is read-only for table data, though it may temporarily move and restore the cursor.",,"LOCATE
  LIST
  FILTER
  SET FILTER
  GOTO","  COUNT <expr>          (implicit expression)
  COUNT DELETED
  COUNT NOT DELETED
  COUNT !DELETED
  COUNT ALL
Notes:
  • Uses cli::scan::collect_selected_recnos(...) for the common scan/selection path.
  • Keeps the active-tag simple equality fast path local to COUNT.
  • Preserves cursor cohesion: COUNT must not leave the work area at EOF/last rec.
  • Suppresses relations auto-refresh during full scans to prevent refresh thrash.
  • Persistent SET FILTER is part of the logical rowset.
    Therefore plain COUNT must NOT use raw recCount() when a persistent filter is active."
CREATE,src/cli/cmd_create.cpp,DOT|CREATE,schema,supported,create,filesystem session schema,CREATE USAGE,"Create a DBF table in the configured DBF path slot using the requested
  xBase/DBF flavor and field specification.","CREATE USAGE
  CREATE <name> (<field> <type>[, ...])
  CREATE MSDOS <name> (<field> <type>[, ...])
  CREATE DBASE <name> (<field> <type>[, ...])
  CREATE FOX26 <name> (<field> <type>[, ...])
  CREATE FOXPRO <name> (<field> <type>[, ...])
  CREATE VFP <name> (<field> <type>[, ...])
  CREATE X64 <name> (<field> <type>[, ...])","CREATE students (sid N(6), lname C(20), fname C(15))
  CREATE X64 teachers (teacher_id I, full_name C(80), bio M)
  CREATE VFP ledger (acct C(12), amount Y, posted D)","CREATE with no usable table/field specification shows usage and does not create a file.
  Relative table names resolve through the configured DBF path slot.
  CREATE clears active order state and closes the current area before writing the new table.
  After a successful write, CREATE opens the created table in the current area.
  If any field is M, CREATE attempts automatic memo attach after opening the table.
  X64 CREATE applies descriptor fallback/name policy for DBF descriptor safety.
  Long, duplicate, or descriptor-unsafe X64 field names may receive fallback tokens.
  X64 logical/authoritative metadata names are preserved when they fit the current x64 metadata limits.
  CREATE is a filesystem/schema mutation command; do not classify it as a read-only report command.",,"USE
  STRUCT
  FIELDS
  WORKSPACE
  SETPATH",
DBAREA,src/cli/cmd_dbarea.cpp,DOT|DBAREA,workspace,supported,report,no,DBAREA USAGE,"Report the current DbArea/work-area state, including file identity,
  logical name, record counts, current record, active order/index status,
  and field structure.","DBAREA
  DBAREA USAGE",,"DBAREA with no arguments is a read-only report for the current work area.
  The current implementation receives an argument stream but does not consume it.
  Slot, ALL, and relation-context report forms are currently implemented by DBAREAS.
  Keep DBAREA focused as the canonical single-area report.",,"DBAREAS
  WORKSPACE
  STATUS
  STRUCT",engine access: compute area slot without changing DbArea API
DBAREAS,src/cli/cmd_dbareas.cpp,DOT|DBAREAS,workspace,supported,report,no,DBAREAS USAGE,"Report current, selected, or all open DbArea/work-area state.","DBAREAS
  DBAREAS USAGE
  DBAREAS <n>
  DBAREAS ALL
  DBAREAS REL",,"DBAREAS with no arguments reports the current area by delegating to DBAREA.
  DBAREAS <n> reports slot n when that slot is open.
  DBAREAS ALL reports all open slots using filename() as the open-area truth.
  DBAREAS REL reports the current area and appends relation summary/tree context.
  DBAREAS is read-only; it reports session/work-area state and does not mutate table data.",,"DBAREA
  WORKSPACE
  REL
  STATUS","src/cli/cmd_dbareas.cpp
DBAREAS - Convenience wrapper around DBAREA.
Key rule (matches cmd_schemas.cpp): filename() is the source of truth for
whether a slot is ""open"". DbArea::isOpen() is not reliable during refactors."
DDL,src/cli/cmd_ddl.cpp,DOT|DDL,schema,supported,mixed,filesystem schema dbf sidecar,DDL USAGE,"Fetch schema files, validate schema files, and create DBF tables from
  JSON schema definitions with optional seed rows and sidecar metadata.","DDL USAGE
  DDL FETCH <url> TO <file>
  DDL FETCH <url> TO <file> OVERWRITE
  DDL VALIDATE <schema.json> USING <validator.json>
  DDL CREATE DBF <out.dbf> FROM <schema.json>
  DDL CREATE DBF <out.dbf> FROM <schema.json> OVERWRITE
  DDL CREATE DBF <out.dbf> FROM <schema.json> SEED CSV <path.csv>
  DDL CREATE DBF <out.dbf> FROM <schema.json> SEED BLANK <n>
  DDL CREATE DBF <out.dbf> FROM <schema.json> REJECTS <rejects.csv>
  DDL CREATE DBF <out.dbf> FROM <schema.json> EMIT SIDECARS",,"DDL with no arguments shows usage.
  FETCH writes a schema-side file and refuses overwrite unless OVERWRITE is supplied.
  VALIDATE currently checks that both schema and validator inputs exist and reports OK.
  CREATE DBF writes a DBF file from schema field definitions.
  CREATE DBF refuses existing output unless OVERWRITE is supplied.
  Relative schema inputs resolve under SCHEMAS.
  Relative FETCH outputs resolve under SCHEMAS.
  Relative CREATE DBF outputs resolve under TMP.
  EMIT SIDECARS writes companion schema, load, and index metadata files.
  SEED CSV is recognized but not yet implemented in this drop-in.",,"CREATE
  WORKSPACE
  USE
  STRUCT
  FIELDMGR",
DELETE,src/cli/cmd_delete.cpp,DOT|DELETE,data,supported,mutate,table-data deletion-flag index stale-state cursor,DELETE USAGE,"Mark the current record or selected records deleted, honoring filters and
  applying index delete snapshots in direct-write mode.","DELETE USAGE
  DELETE
  DELETE ALL
  DELETE REST
  DELETE NEXT <n>
  DELETE FOR <field> <op> <value>",,"DELETE with no arguments deletes the current record.
  DELETE requires an open table except for DELETE USAGE.
  DELETE honors active SET FILTER in ALL, REST, NEXT, and FOR scans.
  DELETE snapshots target recnos before mutating to avoid active-index traversal mutation.
  Direct-write mode captures index keys before delete and applies index delete snapshots after delete.
  Buffered table mode leaves rebuild or final application to COMMIT.
  DELETE marks fields stale best-effort and refreshes current navigation best-effort.
  If index snapshot or apply fails, data delete may still succeed and a rebuild warning is emitted.",,"RECALL
  PACK
  TABLE
  COMMIT
  COUNT
  SET FILTER","- DELETE honors active SET FILTER in ALL / REST / NEXT / FOR scans.
- No-arg DELETE (current record) remains explicit on the current row.
Traversal behavior:
- DELETE snapshots target recnos first, then deletes by recno.
- This avoids mutating an active index while simultaneously iterating it.
- ALL / FOR use ordered snapshot traversal when an order is active.
- REST / NEXT preserve current navigation semantics through the shared selector.
Stabilization notes:
- If index snapshot/apply fails while an order/index backend is active,
  DELETE still succeeds at the data layer, but a warning is emitted that the
  active index may now require rebuild.
- After a successful delete, current navigation is refreshed best-effort."
DESCEND,src/cli/cmd_descend.cpp,DOT|DESCEND,index,supported,configure,order-state,DESCEND USAGE,Set the active order/tag direction to descending for the current work area.,"DESCEND
  DESCEND USAGE",,"DESCEND requires an active order except for DESCEND USAGE.
  DESCEND with no arguments mutates order direction to descending.
  DESCEND does not mutate table records or rebuild indexes.",,"ASCEND
  SET ORDER
  ORDER",
DIR,src/cli/cmd_dir.cpp,DOT|DIR,filesystem,supported,report,none,DIR USAGE,"List a directory or show a single file entry through DotTalk++ path
  resolution.","DIR
  DIR USAGE
  DIR <path>
  DIR <slot>
  DIR <slot>:<path>",,"DIR with no arguments lists the configured DBF path.
  DIR <path> lists a directory or prints a single file entry.
  Slot-style paths resolve through the common path resolver.
  DIR is read-only and does not mutate table data or filesystem contents.",,"SETPATH
  SHOWINI",src/cli/cmd_dir.cpp
DISPLAY,src/cli/cmd_display.cpp,DOT|DISPLAY,record,supported,mixed,cursor,DISPLAY USAGE,Display the current record or display a requested record by record number.,"DISPLAY
  DISPLAY USAGE
  DISPLAY <recno>",,"DISPLAY with no arguments displays the current record.
  DISPLAY <recno> navigates to that record number, then displays it.
  Memo payload display values are resolved through the memo display layer.
  DISPLAY USAGE prints usage before open-table checks or cursor movement.",,"LIST
  BROWSE
  RECNO",
DOTHELP,src/cli/cmd_dothelp.cpp,DOT|DOTHELP,help,supported,report,none,DOTHELP USAGE,Show project-native DotTalk++ reference entries from the dotref catalog.,"DOTHELP
  DOTHELP USAGE
  DOTHELP <term>
  HELP /DOT <term>",,"DOTHELP with no arguments lists project-native commands and subsystems.
  DOTHELP <term> prints a matching dotref entry or search matches.
  DOTHELP USAGE prints usage only.
  HELP /DOT <term> is the related HELP-surface access path.
  DOTHELP is read-only.",,"HELP
  FOXHELP
  CMDHELP",
DOTSCRIPT,src/cli/cmd_dotscript.cpp,DOT|DOTSCRIPT,script,supported,execute,delegates script commands session,DOTSCRIPT USAGE,"Run a DotTalk++ script file, resolving bare names through script/test
  search locations, supporting @file notation, TRACE mode, and one-level
  subscript nesting.","DOTSCRIPT USAGE
  DOTSCRIPT <file>
  DOTSCRIPT @<file>
  DOTSCRIPT TRACE
  DOTSCRIPT TRACE ON
  DOTSCRIPT TRACE OFF
  DOTSCRIPT TRACE <file>
  DOTSCRIPT TRACE @<file>
  DOTSCRIPT TRACE ON <file>
  DOTSCRIPT TRACE OFF <file>
  DOTSCRIPT TRACE ON @<file>
  DOTSCRIPT TRACE OFF @<file>",,"DOTSCRIPT with no arguments shows usage.
  DOTSCRIPT reads an external script file and executes each nonblank,
  noncomment line through the shell command executor.
  Script comments/blank lines are ignored when they begin with *, //, &&, or ; after trimming.
  Bare script names try the typed name, .dts extension, scripts/, and tests/ candidates.
  @file notation is accepted and unquoted before path resolution.
  TRACE without a file reports the current trace state and usage.
  TRACE ON/OFF changes global DOTSCRIPT trace state.
  TRACE <file> runs a single script with trace enabled without changing global trace state.
  Nesting is limited to main script plus one subscript.
  DOTSCRIPT itself delegates side effects to the commands inside the script; it is not read-only.",,"TEST
  CMDHELP
  WORKSPACE
  CREATE
  USE","src/commands/cmd_dotscript.cpp
DOTSCRIPT runner with TRACE banner + scripts/tests resolver + @file support + one-level subscript limit."
DRAWIO,src/cli/cmd_drawio.cpp,DOT|DRAWIO,integration,supported,launch,external-browser,DRAWIO USAGE,"Launch diagrams.net, or list/open draw.io files from configured diagram paths.","DRAWIO USAGE
  DRAWIO
  DRAWIO PATHS
  DRAWIO LIST
  DRAWIO LIST SYSTEM
  DRAWIO LIST USER
  DRAWIO LIST ALL
  DRAWIO OPEN
  DRAWIO OPEN <url-or-path>
  DRAWIO OPEN SYSTEM <n|filename>
  DRAWIO OPEN USER <n|filename>
  DRAWIO OPEN ALL <n|filename>",,"DRAWIO with no arguments launches the default diagrams.net URL.
  DRAWIO OPEN with no target also launches the default diagrams.net URL.
  DRAWIO LIST defaults to SYSTEM.
  SYSTEM diagrams come from SETPATH SYSTEM_DIAGRAMS / DIAGRAMS.
  USER diagrams come from SETPATH USER_DIAGRAMS.
  DRAWIO does not mutate table data or workspace state.",,"HELP
  EXPORT
  SETPATH","src/cli/cmd_drawio.cpp
DRAWIO command
Launches diagrams.net / draw.io and can list/open project diagram files.
Usage:
  DRAWIO
  DRAWIO PATHS
  DRAWIO LIST [SYSTEM|USER|ALL]
  DRAWIO OPEN
  DRAWIO OPEN <url-or-path>
  DRAWIO OPEN [SYSTEM|USER|ALL] <n|filename>"
DUMP,src/cli/cmd_dump.cpp,DOT|DUMP,report,supported,report,cursor,DUMP USAGE,Dump every record from the current work area in legacy pipe-delimited form.,"DUMP
  DUMP USAGE",,"DUMP requires an open table except for DUMP USAGE.
  DUMP operates only on the current work area.
  DUMP does not resolve paths and does not open files.
  Deleted records are prefixed with an asterisk marker.
  DUMP iterates by record number and reads each record.
  DUMP is read-only for table data but moves the current cursor during output.",,"LIST
  DISPLAY
  BROWSE
  COUNT","src/cli/cmd_dump.cpp
DotTalk++ — DUMP
Legacy, path-blind record dumper.
Operates ONLY on the current work area.
No path resolution, no file opens, no side effects."
ECHO,src/cli/cmd_echo.cpp,DOT|ECHO,output,supported,output,output-stream,ECHO USAGE,Print or comment-echo text through the output router depending on SET ECHO state.,"ECHO
  ECHO USAGE
  ECHO <text>",,"ECHO with no arguments preserves existing behavior and emits an empty comment/output line.
  ECHO <text> is comment-style console output when router echo is OFF.
  ECHO <text> routes normally when router echo is ON.
  ECHO ON is not the toggle command; use SET ECHO ON or SET ECHO OFF.
  ECHO USAGE prints usage directly and does not route through echo mode.",,"SET ECHO
  PRINT
  ALTERNATE",src/cli/cmd_echo.cpp
EDIT,src/edu/edu_edit.cpp,EDU|EDIT,utility-editor,supported,launch-editor,filesystem-through-editor,EDIT USAGE,Launch the configured external editor for a file path.,"EDIT USAGE
  EDIT <file>","EDIT notes.txt
  EDIT scripts\demo.dts","EDIT USAGE/HELP/? returns before launching an external editor.
  EDIT may create or modify files through the configured editor.",,,"      Custom,
      Off
  };
  struct EditorSettings {
      EditorMode mode = EditorMode::Default;
      std::string command;
  };
  struct Settings {
      ...
      EditorSettings editor;
      ...
  };"
EDU_BIBLETALK / BIBLETALK,src/edu/edu_bibletalk.cpp,EDU|BIBLETALK,education-database-demo,supported,sqlite-demo-query,sqlite-connection-state,EDU_BIBLETALK USAGE; BIBLETALK USAGE,"Educational BibleTalk/KJV SQLite database wrapper for status, schema,
  table inspection, verse lookup, search, and random scripture output.","EDU_BIBLETALK USAGE
  EDU_BIBLETALK HELP
  EDU_BIBLETALK STATUS
  EDU_BIBLETALK BIBLE
  EDU_BIBLETALK BIBLECHECK
  EDU_BIBLETALK BOOKS
  EDU_BIBLETALK VERSE <ref>
  EDU_BIBLETALK QUOTE
  EDU_BIBLETALK SEARCH <phrase>
  EDU_BIBLETALK LIST <table> [limit]
  EDU_BIBLETALK COLUMNS <table>
  EDU_BIBLETALK TABLES
  EDU_BIBLETALK SCHEMA [table]
  EDU_BIBLETALK EXEC <sql...>
  EDU_BIBLETALK SELECT <sql...>
  EDU_BIBLETALK CLOSE","EDU_BIBLETALK USAGE
  EDU_BIBLETALK BIBLE
  EDU_BIBLETALK VERSE John 3:16
  EDU_BIBLETALK SEARCH faith
  BIBLETALK QUOTE","USAGE/HELP/? returns before SQLite database work.
  No-arg behavior remains status plus brief usage.
  BIBLETALK is a compatibility alias for EDU_BIBLETALK.",,,"  EDU_BIBLETALK LIST <table> [limit]    -> quick table preview
  EDU_BIBLETALK COLUMNS <table>         -> show table columns
  EDU_BIBLETALK CLOSE                   -> close
  EDU_BIBLETALK TABLES                  -> list user tables/views
  EDU_BIBLETALK SCHEMA [name]           -> show schema rows; optional table/view name
  EDU_BIBLETALK EXEC <sql...>           -> execute non-SELECT SQL
  EDU_BIBLETALK SELECT <sql...>         -> run a SELECT and print rows
Notes:
  - Uses dottalk::sqlite::* from sqlite/sqlite_adapter.hpp.
  - Independent of DBF open/order state.
  - SQLite here is an external SQL/RDBMS backend surface, not native DbArea storage.
  - SELECT output is capped (MAX_SELECT_ROWS) to keep CLI responsive."
ELSE,src/cli/cmd_else.cpp,DOT|ELSE_IMPL,script-flow-helper,implementation-shim,none,none,owned-by IF/ELSE/ENDIF handler,Empty translation-unit shim for ELSE command ownership.,"ELSE usage is owned by the IF/ELSE/ENDIF command implementation.
  This file intentionally exports no command handler.",,"This file exists only because ELSE has a cmd_*.cpp translation unit in the
  build tree. Do not add a second ELSE implementation here.",,,
ENDIF,src/cli/cmd_if.cpp,DOT|ENDIF,syntax-command,active,control-flow,none,ENDIF USAGE,Close an IF control block.,ENDIF,,Syntax command paired with IF and ELSE. It does not mutate table data by itself.,,"IF, ELSE, CASE",Already suppressed by outer IF -> do not evaluate.
ENDLOOP,src/cli/cmd_loop.cpp,DOT|ENDLOOP,script,supported,execute,loop-buffer loop-state delegates-command-effects,ENDLOOP USAGE,"End the active LOOP block and replay buffered commands through the shell
  executor.","ENDLOOP
  ENDLOOP USAGE",,"ENDLOOP with no arguments executes the active LOOP buffer.
  ENDLOOP requires an active LOOP block except for ENDLOOP USAGE.
  ENDLOOP clears active loop state before replay.
  ENDLOOP replays buffered commands through the registered loop executor.
  ENDLOOP reports when no LOOP is active.
  ENDLOOP may indirectly mutate data, session state, or files depending on buffered commands.",,"LOOP
  WHILE
  ENDWHILE
  UNTIL
  ENDUNTIL","risk:
  mutates_loop_state: yes
  buffers_commands: yes
  executes_commands: through ENDLOOP
  mutates_table_data: depends on buffered commands
  max_iterations: clamped
related:
  ENDLOOP
  WHILE
  ENDWHILE
  UNTIL
  ENDUNTIL"
ENDSCAN,src/cli/cmd_scan.hpp,DOT|ENDSCAN,syntax-command,active,control-flow,none,ENDSCAN USAGE,Close a SCAN loop block.,ENDSCAN,,Syntax command paired with SCAN. It does not mutate table data by itself.,,SCAN,SCAN subsystem commands
ENDUNTIL,src/cli/cmd_loop.hpp,DOT|ENDUNTIL,syntax-command,active,control-flow,none,ENDUNTIL USAGE,Close an UNTIL loop/control block.,ENDUNTIL,,Syntax command paired with UNTIL where supported. It does not mutate table data by itself.,,"UNTIL, LOOP","noargs: closes-control-block
effect: control-flow
mutates: none
usage-access: ENDWHILE USAGE
summary:
  Close a WHILE loop block.
usage:
  ENDWHILE
notes:
  Syntax command paired with WHILE. It does not mutate table data by itself.
related:
  WHILE"
ENDWHILE,src/cli/cmd_loop.hpp,DOT|ENDWHILE,syntax-command,active,control-flow,none,ENDWHILE USAGE,Close a WHILE loop block.,ENDWHILE,,Syntax command paired with WHILE. It does not mutate table data by itself.,,WHILE,WHILE/UNTIL commands
ERASE,src/cli/cmd_erase.cpp,DOT|ERASE,destructive-file,supported,delete-table-files,filesystem,ERASE USAGE,Physically delete a DBF table file and known same-stem sidecar files.,"ERASE USAGE
  ERASE <table> [CONFIRM]
  ERASE TABLE <table> [CONFIRM]","ERASE TABLE clients
  ERASE TABLE clients CONFIRM
  ERASE students.dbf CONFIRM","ERASE USAGE prints usage and does not inspect or delete files.
  Without CONFIRM, ERASE performs a dry-run and lists files that would be deleted.
  CONFIRM physically deletes the DBF and known same-stem sidecars.",,"ZAP
  PACK
  COPY","Supported syntax:
  ERASE <table> [CONFIRM]
  ERASE TABLE <table> [CONFIRM]
Examples:
  ERASE TABLE clients CONFIRM
  ERASE students.dbf CONFIRM
Behavior:
  - Resolves <table> to a .dbf path (adds .dbf if missing).
  - Resolves relative table names through the active SETPATH DBF slot.
  - Deletes the DBF plus known sidecars with the same stem in the same directory:
      .fpt .dbt .inx .cnx .cdx .idx .dtx .dti.json .schema.json
  - Safety gate: without CONFIRM, it prints what it *would* delete and does nothing."
ERP,src/cli/cmd_erp.cpp,DOT|ERP_IMPL,integration-helper,implementation-shim,none,none,not-registered-here,Translation-unit shim for ERP/LabTalk integration includes.,"This file currently does not export a command handler.
  If ERP becomes user-facing from this file, add the runtime command handler and full usage contract together.",,Keep ERP application behavior owned by the ERP/LabTalk application layer.,,,
ERP / EDU_ERP,src/edu/edu_erp.cpp,EDU|ERP,education-database-demo,supported,sqlite-demo-query,sqlite-connection-state,ERP USAGE; EDU_ERP USAGE,"Educational Cascade Precision manufacturing ERP SQLite wrapper for
  status, schema/table inspection, and domain shortcut reports.","ERP USAGE
  ERP HELP
  ERP STATUS
  ERP CASCADE
  ERP CHECK
  ERP MODULES
  ERP TABLES
  ERP VIEWS
  ERP COLUMNS <table>
  ERP LIST <table> [limit]
  ERP ITEMS
  ERP STOCK
  ERP REORDER
  ERP BOM [sku]
  ERP WORKORDERS
  ERP THREEWAY
  ERP TRIAL
  ERP SCHEMA [table]
  ERP EXEC <sql...>
  ERP SELECT <sql...>
  ERP CLOSE","ERP USAGE
  ERP CASCADE
  ERP MODULES
  ERP ITEMS
  ERP STOCK
  ERP SELECT select * from items limit 5","USAGE/HELP/? returns before SQLite database work.
  No-arg behavior remains status plus brief usage.
  EDU_ERP and cmd_ERP are compatibility aliases for ERP behavior.",,,"  ERP STOCK
  ERP REORDER
  ERP BOM [sku]
  ERP WORKORDERS
  ERP THREEWAY
  ERP TRIAL
Notes:
  - Uses dottalk::sqlite::* from sqlite/sqlite_adapter.hpp.
  - Independent of DBF open/order state.
  - SQLite here is an external SQL/RDBMS backend surface, not native DbArea storage.
  - ERP-specific behavior belongs here, not in the generic SQLITE command.
  - SELECT output is capped to keep CLI responsive."
ERROR_CLEAR,src/cli/cmd_error_clear.cpp,DOT|ERROR_CLEAR,diagnostics,supported,clear,error-state,ERROR_CLEAR USAGE,Clear the last xBase_64 error context.,"ERROR_CLEAR
  ERROR_CLEAR USAGE",,"ERROR_CLEAR with no arguments clears the last error.
  ERROR_CLEAR USAGE prints usage and does not clear the error state.
  ERROR_CLEAR mutates diagnostic error state only, not table data.",,"ERROR_STATUS
  ERROR_TEST","src/cli/cmd_ERROR_CLEAR.cpp
Clear the last xBase_64 error and report success."
ERROR_STATUS,src/cli/cmd_error_status.cpp,DOT|ERROR_STATUS,diagnostics,supported,report,output-format-state,ERROR_STATUS USAGE,"Display the last xBase_64 error in a structured, HRESULT-style diagnostic format.","ERROR_STATUS
  ERROR_STATUS USAGE",,"ERROR_STATUS with no arguments reports the last error.
  ERROR_STATUS prints severity, facility, number, HRESULT, and message.
  ERROR_STATUS changes stream formatting while printing diagnostic output.
  ERROR_STATUS does not mutate table data.",,"ERROR_CLEAR
  ERROR_TEST","src/cli/cmd_ERROR_STATUS.cpp
Display the last xBase_64 error in a structured, MS-conformal format."
ERROR_TEST,src/cli/cmd_error_test.cpp,DOT|ERROR_TEST,diagnostics,supported,test,error-state,ERROR_TEST USAGE,Run the xBase_64 error subsystem self-test and update last-error state on failure.,"ERROR_TEST
  ERROR_TEST USAGE",,"ERROR_TEST with no arguments runs the error subsystem self-test.
  ERROR_TEST USAGE prints usage and does not run tests.
  Passing tests clear the last error.
  Failing tests set a canonical unknown error.
  ERROR_TEST mutates diagnostic error state only, not table data.",,"ERROR_STATUS
  ERROR_CLEAR","src/cli/cmd_ERROR_TEST.cpp
Self-test for the xBase_64 error subsystem."
ERSATZ,src/cli/cmd_ersatz.cpp,DOT|ERSATZ,relational-browser,supported,mixed,browser-session workspace-files cursor delta-baselines,ERSATZ USAGE,"Relational browser and tuple-stream helper for current workspace/session,
  with navigation, tree/grid rendering, workspace handoff, and delta baselines.","ERSATZ
  ERSATZ USAGE
  ERSATZ SHOW
  ERSATZ REFRESH
  ERSATZ TREE
  ERSATZ GRID
  ERSATZ STATUS
  ERSATZ ORDER
  ERSATZ TOP
  ERSATZ BOTTOM
  ERSATZ NEXT
  ERSATZ NEXT <n>
  ERSATZ PREV
  ERSATZ PREV <n>
  ERSATZ SKIP <n>
  ERSATZ ROOT
  ERSATZ ROOT <alias>
  ERSATZ LIMIT <n>
  ERSATZ PATH <alias>
  ERSATZ CLEARPATH
  ERSATZ BACK
  ERSATZ OPEN <workspace>
  ERSATZ LOAD <name>
  ERSATZ SAVE <name>
  ERSATZ WLOAD <name>
  ERSATZ DELTA MARK <name>
  ERSATZ DELTA SHOW <name>
  ERSATZ DELTA CLEAR <name>
  ERSATZ DELTA CLEAR ALL
  ERSATZ DELTA STATUS
  ERSATZ RESET",,"ERSATZ with no arguments renders the current relational browser snapshot.
  SHOW, REFRESH, TREE, and GRID render the current browser session.
  TOP, BOTTOM, NEXT, PREV, and SKIP navigate the root cursor and render.
  ROOT, LIMIT, PATH, CLEARPATH, and BACK mutate browser session settings.
  OPEN hands off to WORKSPACE.
  LOAD, SAVE, and WLOAD read or write workspace files.
  DELTA commands manage in-memory tuple-stream baselines.
  RESET clears ERSATZ browser session state.
  ERSATZ is not table-data mutation by itself, but it can mutate cursor/session/workspace state.",,"WORKSPACE
  REL
  BROWSE
  TUPLE
  GPS",src/cli/cmd_ersatz.cpp
EVALUATE / EVAL,src/edu/edu_evaluate.cpp,EDU|EVALUATE,education-expression,supported,evaluate-expression,none,EVALUATE USAGE,Evaluate a boolean predicate expression through xexpr and print .T. or .F.,"EVALUATE USAGE
  EVALUATE <expr>
  EVAL <expr>","EVALUATE 1 = 1
  EVALUATE GPA >= 3.0
  EVAL LNAME = ""SMITH""","EVALUATE USAGE prints usage before expression evaluation.
  When a table is open, field-aware expressions use the current record.
  This command does not mutate table data.",,,"src/cli/edu_evaluate.cpp
DotTalk++ EVALUATE / EVAL
Boolean predicate evaluator (IF/SCAN compatible)
xexpr migration note:
  This command now calls the xexpr facade instead of reaching directly into
  cli/expr/evaluate.hpp.  The command syntax and output remain unchanged."
