ATTRID,OBJID,ATTRNAME,ATTRVAL,ATTRMEMO,EVID
ATTR_0EBFB3299DDA751DBE40,OBJ_8AA8549FABF5BEFB8380,description,Review row id,Review row id,
ATTR_B6C9A53A867E54967F19,OBJ_43BC29C66D42EFAD449F,type,C,C,
ATTR_CECFFAA50DE82A3280C2,OBJ_43BC29C66D42EFAD449F,width,48,48,
ATTR_0A917F70181845C83AC9,OBJ_43BC29C66D42EFAD449F,decimals,0,0,
ATTR_DB9A8C9EBEFA1970AA88,OBJ_43BC29C66D42EFAD449F,required,1,1,
ATTR_F2B8AC2E5BE021162996,OBJ_43BC29C66D42EFAD449F,description,Run id,Run id,
ATTR_F5E79F25ACEBF4C5BBEC,OBJ_48ED3BA45D7D40D7B7FE,type,C,C,
ATTR_26EF56CF29B33EFB353D,OBJ_48ED3BA45D7D40D7B7FE,width,16,16,
ATTR_84F346FAC3A14423CD95,OBJ_48ED3BA45D7D40D7B7FE,decimals,0,0,
ATTR_4EBCA3746CB58386AF78,OBJ_48ED3BA45D7D40D7B7FE,required,1,1,
ATTR_EA571B35A7EA282F5A95,OBJ_48ED3BA45D7D40D7B7FE,description,LOW/MEDIUM/HIGH,LOW/MEDIUM/HIGH,
ATTR_C547EA5522B6310E132B,OBJ_212102AD87386057ADDB,type,C,C,
ATTR_0CA126A8F27BD4A5FBEE,OBJ_212102AD87386057ADDB,width,64,64,
ATTR_7EB7986CF6DC20055CCC,OBJ_212102AD87386057ADDB,decimals,0,0,
ATTR_8D0E14DE4F9D0404F604,OBJ_212102AD87386057ADDB,required,1,1,
ATTR_9E99D81F77458A1F35C1,OBJ_212102AD87386057ADDB,description,Review lane,Review lane,
ATTR_89FCDE9027B4584B598C,OBJ_C4FC69451219223C5091,type,C,C,
ATTR_F04E5CC0AA7212E006A7,OBJ_C4FC69451219223C5091,width,240,240,
ATTR_B363306CD26D1225D561,OBJ_C4FC69451219223C5091,decimals,0,0,
ATTR_502E40FE9693BD6E5070,OBJ_C4FC69451219223C5091,required,0,0,
ATTR_719B33FC11F1609A180C,OBJ_C4FC69451219223C5091,description,Affected path,Affected path,
ATTR_781081B5B8B60EBA3994,OBJ_80B4292FFD69C1D0458E,type,C,C,
ATTR_0F76D47A7AAD2CE1B2C0,OBJ_80B4292FFD69C1D0458E,width,120,120,
ATTR_6ED947A4E6E668C75D12,OBJ_80B4292FFD69C1D0458E,decimals,0,0,
ATTR_5DA1333C22157DBDFFE7,OBJ_80B4292FFD69C1D0458E,required,0,0,
ATTR_E8539DDB1C9BA2EA0573,OBJ_80B4292FFD69C1D0458E,description,Required action,Required action,
ATTR_23463AE76785C76D0954,OBJ_A817CD96E27126EDD5E3,type,M,M,
ATTR_D7626FADBB77C7A4378B,OBJ_A817CD96E27126EDD5E3,width,10,10,
ATTR_C6539D0E6B120B088E85,OBJ_A817CD96E27126EDD5E3,decimals,0,0,
ATTR_92761516C8B0F74289A6,OBJ_A817CD96E27126EDD5E3,required,0,0,
ATTR_76C7C822E2F344E6124B,OBJ_A817CD96E27126EDD5E3,description,Review detail memo,Review detail memo,
ATTR_6DE88905270E646F4153,OBJ_F56DF3E8169ACB403A89,type,C,C,
ATTR_25E1F016A11E13857B4B,OBJ_F56DF3E8169ACB403A89,width,64,64,
ATTR_0DF4E5981DF646569447,OBJ_F56DF3E8169ACB403A89,decimals,0,0,
ATTR_095723EF54D56CB54507,OBJ_F56DF3E8169ACB403A89,required,1,1,
ATTR_0615BDA322A5AE456F0E,OBJ_F56DF3E8169ACB403A89,description,Artifact id,Artifact id,
ATTR_2B9349B257A18E618527,OBJ_BDFD3E499D3E0B242F64,type,C,C,
ATTR_B24322807CC63FDA64B0,OBJ_BDFD3E499D3E0B242F64,width,48,48,
ATTR_1F1B798312D05D995AD9,OBJ_BDFD3E499D3E0B242F64,decimals,0,0,
ATTR_25BAA50FF6DD836C54A2,OBJ_BDFD3E499D3E0B242F64,required,0,0,
ATTR_D7A68F3D1B4C6E86ABF3,OBJ_BDFD3E499D3E0B242F64,description,Run id,Run id,
ATTR_29CB5A6F7C030E9E0ECD,OBJ_F044AD268E3EEBF152D0,type,C,C,
ATTR_47BBECCA71FF79A3B280,OBJ_F044AD268E3EEBF152D0,width,240,240,
ATTR_AB7577FDAE2F98639131,OBJ_F044AD268E3EEBF152D0,decimals,0,0,
ATTR_C3D9E8BD0BC8928BB072,OBJ_F044AD268E3EEBF152D0,required,1,1,
ATTR_5EAFACF4578D7BA485FD,OBJ_F044AD268E3EEBF152D0,description,Artifact path,Artifact path,
ATTR_8DF70551AF96A2F3172C,OBJ_68623AEA556D70A996BA,type,C,C,
ATTR_FA70681EF0F70B7959F6,OBJ_68623AEA556D70A996BA,width,48,48,
ATTR_9A3DAAB2479657B7C0FF,OBJ_68623AEA556D70A996BA,decimals,0,0,
ATTR_5388AC3E7F480CC1EFF0,OBJ_68623AEA556D70A996BA,required,1,1,
ATTR_A2F73F18513ABDD7FC2E,OBJ_68623AEA556D70A996BA,description,Artifact kind,Artifact kind,
ATTR_1E2BDC47600A130B0818,OBJ_150B642F7CFA4A8B71F5,type,C,C,
ATTR_1735C768DE1E9FB018D1,OBJ_150B642F7CFA4A8B71F5,width,48,48,
ATTR_1FCC84787E7C877205A2,OBJ_150B642F7CFA4A8B71F5,decimals,0,0,
ATTR_5B20C37D73F3392E2A96,OBJ_150B642F7CFA4A8B71F5,required,0,0,
ATTR_E093738914F686B307A9,OBJ_150B642F7CFA4A8B71F5,description,Accepted/generated/review,Accepted/generated/review,
ATTR_20FC2D25499830E69E92,OBJ_B08EC07A283C8FA1CCC1,type,C,C,
ATTR_D79A81CEAF476ABFD81F,OBJ_B08EC07A283C8FA1CCC1,width,64,64,
ATTR_AC70421C10A7EDB93AAA,OBJ_B08EC07A283C8FA1CCC1,decimals,0,0,
ATTR_10C52BEDF99BE07BD1FA,OBJ_B08EC07A283C8FA1CCC1,required,0,0,
ATTR_1AEA5B0D8C9A85065D57,OBJ_B08EC07A283C8FA1CCC1,description,Artifact hash,Artifact hash,
ATTR_3CD20A99B18F28EFFCF4,OBJ_93FD6D19AD83C026DFE3,type,C,C,
ATTR_96FEF87DD58BF6A4976C,OBJ_93FD6D19AD83C026DFE3,width,48,48,
ATTR_6FB91C9F67DBF167C057,OBJ_93FD6D19AD83C026DFE3,decimals,0,0,
ATTR_AC3D7282C0EB42429532,OBJ_93FD6D19AD83C026DFE3,required,1,1,
ATTR_D9CC1F8AE4783ACA2C12,OBJ_93FD6D19AD83C026DFE3,description,Profile id,Profile id,
ATTR_6C9063AF13A5ACDDCF3F,OBJ_96D3B8E55450AE4896AE,type,C,C,
ATTR_7BD5A1214BA0633B381C,OBJ_96D3B8E55450AE4896AE,width,48,48,
ATTR_AF05D4828D72EE0AA7C2,OBJ_96D3B8E55450AE4896AE,decimals,0,0,
ATTR_1BDB09A11B1C460DEFE1,OBJ_96D3B8E55450AE4896AE,required,1,1,
ATTR_B2D16DFC816A0C8FAD95,OBJ_96D3B8E55450AE4896AE,description,Profile name,Profile name,
ATTR_924123270AB5B48F25B9,OBJ_750153055ABCC82B857A,type,L,L,
ATTR_17D4C0B7ABD10737E3A0,OBJ_750153055ABCC82B857A,width,1,1,
ATTR_8532BB2A5DFD9C6A2088,OBJ_750153055ABCC82B857A,decimals,0,0,
ATTR_2E9A89FB6BC82D84E21D,OBJ_750153055ABCC82B857A,required,1,1,
ATTR_58A32C3A0BC5A8C63E2B,OBJ_750153055ABCC82B857A,description,Visible in default product surface,Visible in default product surface,
ATTR_2C3754B6D0199F0AF154,OBJ_99A508FA3AF9B00645A8,type,M,M,
ATTR_ABA232DFD74245952588,OBJ_99A508FA3AF9B00645A8,width,10,10,
ATTR_191D7B22C5C650A75EF7,OBJ_99A508FA3AF9B00645A8,decimals,0,0,
ATTR_F17ECD3F423BDCA7F054,OBJ_99A508FA3AF9B00645A8,required,0,0,
ATTR_144D0E9C9367BF68E625,OBJ_99A508FA3AF9B00645A8,description,Profile definition notes,Profile definition notes,
ATTR_5B4F2661E643234B6511,OBJ_A0B1D55CFBD00C79A354,expression,RUNID,RUNID,
ATTR_37B2029255CBE14AA667,OBJ_A0B1D55CFBD00C79A354,kind,UNIQUE,UNIQUE,
ATTR_A5E31069F066FA50CF25,OBJ_A0B1D55CFBD00C79A354,description,RUNID,RUNID,
ATTR_77AF9113F80D91A868EB,OBJ_B4FFE4C5FD21DEE38A7E,expression,STATUS,STATUS,
ATTR_0E831CF6F30FFD3027F0,OBJ_B4FFE4C5FD21DEE38A7E,kind,NORMAL,NORMAL,
ATTR_9F13DA9246DF8049CDC2,OBJ_B4FFE4C5FD21DEE38A7E,description,STATUS,STATUS,
ATTR_532E3B6C73E8B9A371E6,OBJ_0F49057837D12CD9F544,expression,BASEID,BASEID,
ATTR_DF9C7CDE4CFE330292A8,OBJ_0F49057837D12CD9F544,kind,UNIQUE,UNIQUE,
ATTR_52354AA92B47970DA780,OBJ_0F49057837D12CD9F544,description,BASEID,BASEID,
ATTR_397C6D9721A5EA2A68E9,OBJ_2BD3802BA92C1DCFD05D,expression,FINGER,FINGER,
ATTR_6AA01B9F03C5481DB391,OBJ_2BD3802BA92C1DCFD05D,kind,NORMAL,NORMAL,
ATTR_3FF5E2F45609DE83F2A9,OBJ_2BD3802BA92C1DCFD05D,description,FINGER,FINGER,
ATTR_6C7D96EDC6680ADD9EEE,OBJ_F2D872C4053CC0C207E3,expression,SRCID,SRCID,
ATTR_88B7B65DE76278162D49,OBJ_F2D872C4053CC0C207E3,kind,UNIQUE,UNIQUE,
ATTR_11CE1F004309D63CD72F,OBJ_F2D872C4053CC0C207E3,description,SRCID,SRCID,
ATTR_EAD30AB0F88010DF6F59,OBJ_6D0CD16AA388B0EEA286,expression,PATH,PATH,
ATTR_D953874BD3E8D5F9949F,OBJ_6D0CD16AA388B0EEA286,kind,NORMAL,NORMAL,
ATTR_B547E796B2C49BF29879,OBJ_6D0CD16AA388B0EEA286,description,PATH,PATH,
ATTR_F3FF5ADFE56F9FDA78B1,OBJ_E4E468E2764C94F247E1,expression,OBJID,OBJID,
ATTR_227B2E158BF901A47BE4,OBJ_E4E468E2764C94F247E1,kind,UNIQUE,UNIQUE,
ATTR_1E0C14E5E7C2251501B5,OBJ_E4E468E2764C94F247E1,description,OBJID,OBJID,
ATTR_A17107BB0EABC097A4EB,OBJ_DF3BDCDB70A8901AA0D9,expression,OBJTYPE+NAME,OBJTYPE+NAME,
ATTR_F37F7032CB0A9858C1A3,OBJ_DF3BDCDB70A8901AA0D9,kind,NORMAL,NORMAL,
ATTR_8EDFF6086D10147398F6,OBJ_DF3BDCDB70A8901AA0D9,description,"OBJTYPE, NAME","OBJTYPE, NAME",
ATTR_DC87DFE8ADCFA77A21FE,OBJ_124792EF45342A09490A,expression,ATTRID,ATTRID,
ATTR_DAD49FCE01EFDC8A5971,OBJ_124792EF45342A09490A,kind,UNIQUE,UNIQUE,
ATTR_732437ACEA454CC93EB9,OBJ_124792EF45342A09490A,description,ATTRID,ATTRID,
ATTR_BD46D9EEAB9E0A97B4A0,OBJ_31AA01E25966765DCFE9,expression,OBJID+ATTRNAME,OBJID+ATTRNAME,
ATTR_9737B800C0537B8BA58D,OBJ_31AA01E25966765DCFE9,kind,NORMAL,NORMAL,
ATTR_E22F0A8ED074D2FF8FB5,OBJ_31AA01E25966765DCFE9,description,"OBJID, ATTRNAME","OBJID, ATTRNAME",
ATTR_3768D2838D6A9A53CDF8,OBJ_17E5B2C68890E16AB312,expression,EDGEID,EDGEID,
ATTR_EEB8510A7AB33B09E509,OBJ_17E5B2C68890E16AB312,kind,UNIQUE,UNIQUE,
ATTR_0CA06001705882E4F2DA,OBJ_17E5B2C68890E16AB312,description,EDGEID,EDGEID,
ATTR_E7008E549F6F88888279,OBJ_E5261A81C45FDB229153,expression,FROMOBJ,FROMOBJ,
ATTR_750C0B1E5E4AABFEE3C8,OBJ_E5261A81C45FDB229153,kind,NORMAL,NORMAL,
ATTR_905239338A4FE6371DA3,OBJ_E5261A81C45FDB229153,description,FROMOBJ,FROMOBJ,
ATTR_642B13523301FC0A373C,OBJ_5AC238AA715CF5A77C6E,expression,EVID,EVID,
ATTR_FD47E4FEA6FE78DA1B5F,OBJ_5AC238AA715CF5A77C6E,kind,UNIQUE,UNIQUE,
ATTR_2065B895A4049ED78327,OBJ_5AC238AA715CF5A77C6E,description,EVID,EVID,
ATTR_C52E96CC58BC346A5B58,OBJ_DA44F08260C3AA7931D8,expression,OBJID,OBJID,
ATTR_533D05E63587D4A7FD01,OBJ_DA44F08260C3AA7931D8,kind,NORMAL,NORMAL,
ATTR_10FEE9004E10995FA5B7,OBJ_DA44F08260C3AA7931D8,description,OBJID,OBJID,
ATTR_626E21D0069215D54BD5,OBJ_C727D86082F60461128D,expression,GATEID,GATEID,
ATTR_A615179F48E7A7EB7605,OBJ_C727D86082F60461128D,kind,UNIQUE,UNIQUE,
ATTR_51623796000B99A94D8D,OBJ_C727D86082F60461128D,description,GATEID,GATEID,
ATTR_230E3DF3B7800FBB282D,OBJ_3E5E9C812F51078FD545,expression,RUNID+GATENAME,RUNID+GATENAME,
ATTR_E533B4FCDB6C9B1CD2D0,OBJ_3E5E9C812F51078FD545,kind,NORMAL,NORMAL,
ATTR_AA10C912A97E795DE803,OBJ_3E5E9C812F51078FD545,description,"RUNID, GATENAME","RUNID, GATENAME",
ATTR_2B1DB9C28F634284A8BC,OBJ_F3355B777A52DD565B7C,expression,REVID,REVID,
ATTR_C30D0C8AEC8534F1904B,OBJ_F3355B777A52DD565B7C,kind,UNIQUE,UNIQUE,
ATTR_3E99352CEF841B4ACA10,OBJ_F3355B777A52DD565B7C,description,REVID,REVID,
ATTR_0656071D2A92D64BBB76,OBJ_612DCACBAC08113F5FD9,expression,RUNID+SEVERITY,RUNID+SEVERITY,
ATTR_FD471CAD9C379BE6B57F,OBJ_612DCACBAC08113F5FD9,kind,NORMAL,NORMAL,
ATTR_C5020B8819DEA0C945A3,OBJ_612DCACBAC08113F5FD9,description,"RUNID, SEVERITY","RUNID, SEVERITY",
ATTR_927427D74230B202CBF0,OBJ_CC8C6913B7FF10BD70DE,expression,ARTID,ARTID,
ATTR_8A76B6B09CFE92E707CA,OBJ_CC8C6913B7FF10BD70DE,kind,UNIQUE,UNIQUE,
ATTR_658C0066376C6CB376B0,OBJ_CC8C6913B7FF10BD70DE,description,ARTID,ARTID,
ATTR_CD0E2DC19B305790196D,OBJ_5E2A2CF23EEEA2BFB518,expression,RUNID+KIND,RUNID+KIND,
ATTR_F4914AEA1FBB4FFCBEFB,OBJ_5E2A2CF23EEEA2BFB518,kind,NORMAL,NORMAL,
ATTR_0A2F9F35A88CF312E39C,OBJ_5E2A2CF23EEEA2BFB518,description,"RUNID, KIND","RUNID, KIND",
ATTR_54EC201CB7E71EDD8796,OBJ_4787D9A3D9D8E2A8D75A,expression,PROFID,PROFID,
ATTR_52413C2112B8D0519CD1,OBJ_4787D9A3D9D8E2A8D75A,kind,UNIQUE,UNIQUE,
ATTR_2285B68644F4FD3D9405,OBJ_4787D9A3D9D8E2A8D75A,description,PROFID,PROFID,
ATTR_B0C8BEDA94D1B5CC07DC,OBJ_C1FF246D96A76C25EBD6,expression,NAME,NAME,
ATTR_29AA6577F69C81877589,OBJ_C1FF246D96A76C25EBD6,kind,UNIQUE,UNIQUE,
ATTR_C377297AC1FF3056AF69,OBJ_C1FF246D96A76C25EBD6,description,NAME,NAME,
